arithmetique,(rare) Misspelling of arithmétique.
arithmographique,arithmographic
arithmologie,arithmology
arithmomanie,arithmomania
arithméticien,(mathematics) arithmetician
arithmétique,"arithmetic (mathematics of numbers, etc.)"
arithmétiquement,arithmetically (in an arithmetic manner)
arithmétisation,arithmetization
arithmétiser,(mathematics) to arithmetize
arité,arity (number of arguments)
ariège,smilax
ariégeois,(relational) of Ariège (the French department)
arkose,(geology) arkose
arlequin,harlequinbuffoonjester
arlequinade,harlequinadebuffoonery
arlésien,(relational) of Arles
armada,(military) armada (fleet of warships)
armagnac,Armagnac (brandy)
armailli,(Switzerland) shepherd (of the Fribourg region)
armanien,(relational) of Giorgio Armani or the Armani fashion house
armateur,(nautical) shipowner
armatole,Armatole
armature,framework (supportive structure)
armaturé,reinforcedunderwired (of clothing etc.)
arme,"a weapon, arms"
arme biologique,biological weapon
arme blanche,weapon with a blade; cold weapon
arme chimique,chemical weapon
arme d'hast,polearm
arme de destruction massive,"weapon of mass destruction (a chemical, biological, radiological nuclear or other weapon that is designed to cause death or serious injury to large numbers of civilians)"
arme de jet,missile
arme de poing,"handgun (small gun with a relatively short barrel, designed to be held and operated with a single hand)"
arme du crime,murder weapon
arme à double tranchant,(idiomatic) double-edged sword
arme à feu,firearm
arme à impulsion électrique,an electroshock stun weapon
armeline,"a fine, white ermine from Lapland"
armement,"armamentarmingNautical: final stages of the building of a ship (painting, equipment, etc.)Nautical: preparing a ship for a commercial missionby extension: shipping company"
armer,to arm (equip with weapons)to dub (a knight)
armes,coat of arms
armet,armet
armeur,armourer
armillaire,armillary
armillé,armillary
arminianisme,Arminianism
arminien,Arminian
armistice,armistice
armoire,"wardrobe (British), closet (US), a cabinet, taller than it is wide, for storing things."
armoire à glace,"wardrobe with a mirror(figuratively) a muscleman, a bruiser, a bull, a hulk, a bulky man, a man built like a brick shithouse"
armoire à pharmacie,"medicine cabinet, medicine chest, medicine cupboard"
armoiries,arms; coat of arms
armoise,mugwort
armon,coupling (of railway carriages)
armorial,(heraldry) armorial
armoricain,Armorican
armorier,(transitive) to emblazon (with arms)
armure,armor
armurerie,arms factorygunshop
armurier,gunsmitharmourer / armorer
armé,armed (having weapons)
armé jusqu'aux dents,armed to the teeth
armée,(military) army(military) armed forces
armée de l'air,"(military) air force, air corps or flying corps"
armée de l'espace,"(military) space force, aerospace force"
armée de mer,"(military, archaic) navy"
armée de terre,(military) army
arménien,Armenian
arménien ancien,(language) Old Armenian
arménien classique,(language) Old Armenian
arnaque,"(colloquial) con, rip-off, swindling"
arnaquer,"(informal) to swindle, to dupe(informal) to cheat"
arnaqueur,swindler
arnica,arnica
arnica des montagnes,(botany) Arnica montana L.
arobase,"(computing) the at symbol, @"
arobe,at sign (@)
aromal,aromatic (fragrant)
aromantique,aromantic
aromate,"seasoning, herb, spice, especially one with a strong, pleasant odour"
aromathérapeute,aromatherapist
aromathérapie,aromatherapy
aromaticité,aromaticity (all senses)
aromatique,aromatic (all senses)
aromatisation,aromatization
aromatiser,to aromatize / aromatise
aromatogramme,aromatogram
aromatophore,aromatic
aronde,(archaic) swallow (bird)
aroumain,Aromanian language
aroïdée,arum (of subfamily Aroideae)
arpent,arpent
arpentage,surveyingsurvey
arpenter,"to survey landto pace, to measureto pace, to walk to and fro"
arpenteur,surveyor
arpenteuse,measuring worm
arpion,(especially in plural) foot
arpitan,Arpitan (language)
arpège,(music) arpeggio
arpègement,(music) the playing of an arpeggio
arpète,apprentice (or worker who does odd jobs)
arpéger,(music) to play an arpeggio
arquebusade,arquebusade (shot of an arquebus)
arquebuse,(firearms) arquebus
arquebusier,arquebusier
arquer,"(transitive, intransitive) to arc(reflexive, s'arquer) to arc (move in an arch shape)"
arracache,arracacha
arrachable,peelable
arrachage,lifting (of potatoes etc)weeding
arrachement,"uprootingextracting, extractionsnatching, grabbing"
arracher,"to uproot, pull up, tear outto extract, take out (a tooth)to pull off, rip off, peelto buy, snap up(takes a reflexive pronoun) to fight over (something)(takes a reflexive pronoun) to tear oneself away (à from)"
arracher la gueule,"(vulgar) to hurt, to kill, to be too much to ask [+ à (someone)](informal, figuratively) to be very spicy, to be very hot, to blow someone's head off (of food)"
arracher les mots de la bouche,"to take the words out of someone's mouth (to say what someone was about to say themselves) [+ à (someone)]to worm something out of, to drag something out of [+ à (someone)]"
arracheur,"an agricultural labourer who harvest potatoes, beet etc.(slang) bag snatcher"
arraché,(weightlifting) snatch
arraisonnement,(nautical) inspection
arraisonner,to hail (e.g. a taxicab)(nautical) to arraign
arrangeable,arrangeable
arrangement,arrangement
arranger,"to arrange(colloquial) to suit, to be convenient(reflexive) to be set for(Louisiana) to build(Louisiana, Cajun) to fix"
arrangeur,arranger (one who arranges)(music) arranger
arrangé,"(informal, of a person or thing) organized, neat"
arrenter,"to pay a pension, annuity etc."
arrestation,"arrest (“The act of arresting a criminal, suspect, etc.”)"
arrher,to give down payment
arrhes,down payment; deposit
arrhize,"(botany) arrhizal, arrhizous"
arrhénogène,arrhenogenic
arrhénotoque,(biology) arrhenotokous
arrimage,stowage
arrimer,to stow
arrimeur,"(nautical) stevedore, docker"
arriser,(nautical) to reef a sail
arrivage,arrivaladvent
arrivant,arrivingincoming
arrivederci,intj
arriver,"to arrive (often followed by a location)(impersonal) to happen (unlike other translations of happen, can be used with an indirect object to specify something/somebody affected by the action; it may also be used with a relative clause in the subjunctive)(informal) to cope, to manageto be able to, to manage (to do something successfully)to obtain a level of success or fame"
arriver après la bataille,"(figuratively) to come a day after the fair, to close the stable door after the horse has bolted"
arriver comme les carabiniers,"(simile) to come a day after the fair, to close the stable door after the horse has bolted"
arriver à bon port,"(figuratively) to arrive safe and sound, to reach one's destination safely"
arriver à la cheville,"(figuratively, informal, followed by the preposition de) to hold a candle to, to measure up to"
arriver à la fumée des cierges,(figuratively) to come a day after the fair
arriver à ses fins,"to get one's way, to have one's way, to achieve one's goals, to achieve one's ends"
arrivisme,arrivisme
arriviste,arriviste
arrivée,arrival
arrière,back; rear(sports) fullback(basketball) shooting guard
arrière-automne,late autumn (near the onset of winter)
arrière-ban,an assembly of feudal lords
arrière-bec,the downstream part of the cutwater of a bridge
arrière-bouche,Synonym of pharynx
arrière-boutique,a room at the back of a shop
arrière-bras,upper arm
arrière-cerveau,hindbrain
arrière-chambre,backroom
arrière-chœur,a choir placed behind the altar in a church
arrière-cour,backyard (of a house)rear courtyard (of a mansion etc)
arrière-cousin,second cousindistant cousin
arrière-cuisine,back kitchenscullery
arrière-faix,"afterbirth, secundines (placenta and other material expelled via the birth canal following childbirth or parturition in mammals)"
arrière-fleur,second flowering
arrière-foin,second crop
arrière-fond,a deeply-held feeling etc.
arrière-garde,(military) rearguard
arrière-gorge,pharynx
arrière-goût,aftertaste
arrière-grand-mère,great-grandmother
