〇,0; zéro,ling2
一团火,boule de feu,yi1 tuan2 huo3
一团糟,chaos; désordre complet; pagaille,yi1 tuan2 zao1
一国两制,"Un pays, deux systèmes",yi1 guo2 liang3 zhi4
一场空,être tout en vain; être un effort futile; espoirs déçus,yi1 chang2 kong1
一块,morceau,yi1 kuai4
一块儿,ensemble; au même endroit,yi1 kuai4 r
一堆,pile; ramassis; agglomération,yi1 dui1
一塌糊涂,(expr. idiom.) pagaille; désordre; dans un état affreux,yi1 ta1 hu2 tu5
一壁,d'un côté; en même temps,yi1 bi4
一声,premier ton (en mandarin) (ton haut et plat); un son; spécificatif : un coup (de canon),yi1 sheng1
一夔已足,(expr. idiom.) une personne de talent est suffisante; un seul suffit,yi1 kui2 yi3 zu2
一夜爆红,devenir populaire du jour au lendemain,yi1 ye4 bao4 hong2
一大早,à l'aube; aux premières lueurs du jour,yi1 da4 zao3
一天,un jour,yi1 tian1
一天到晚,toute la journée; du matin au soir,yi1 tian1 dao4 wan3
一夫一妻制,monogamie,yi1 fu1 yi1 qi1 zhi4
一夫多妻,Polygynie,yi1 fu1 duo1 qi1
一头,directement; la tête la première,yi1 tou2
一套,"batterie (cuisine, etc.); suite; ensemble",yi1 tao4
一如,comme,yi1 ru2
一如既往,(expr. idiom.) tout comme dans le passé; éternel; comme avant; comme toujours,yi1 ru2 ji4 wang3
一妻制,monogamie,yi1 qi1 zhi4
一孔之见,vue partielle; perspectives limitées,yi1 kong3 zhi1 jian4
一字,dans une rangée; en ligne; aligné,yi1 zi4
一字不差,mot pour mot; textuellement,yi1 zi4 bu4 cha1
一字不识,(expr. idiom.) être incapable de distinguer le bon du mauvais; illettré; analphabète,yi1 zi4 bu4 shi2
一字千金,(expr. idiom.) littéralement : un caractère mille unités d'or (utilisée pour juger de la valeur d'une oeuvre littéraire ou d'une opinion); parler d'or; donner des conseils précieux,yi1 zi4 qian1 jin1
一定,certainement; sûrement; certain; déterminé; fixe,yi1 ding4
一定要,il faut,yi1 ding4 yao4
一审,première instance (en droit),yi1 shen3
一家,toute la famille; la même famille,yi1 jia1
一家子,toute la famille,yi1 jia1 zi5
一对,couple; paire; duo,yi1 dui4
一小时,une heure,yi1 xiao3 shi2
一尘不染,(expr. idiom.) désintéressé et incorruptible; impeccable,yi1 chen2 bu4 ran3
一局,partie,yi1 ju2
一层,couche (strate),yi1 ceng2
一巴掌,claque,yi1 ba1 zhang3
一帆风顺,(expr. idiom.) avoir le vent favorable; aller comme sur des roulettes; avoir le vent en poupe; Bon voyage!,yi1 fan1 feng1 shun4
一带,région; district; zone,yi1 dai4
一席之地,un lieu pour soi-même; niche,yi1 xi2 zhi1 di4
一席话,teneur de la conversation; mots; remarques,yi1 xi2 hua4
一干二净,(expr. idiom.) complètement; tout à fait; parfaitement; purement et simplement,yi1 gan1 er4 jing4
一年到头,toute l'année,yi1 nian2 dao4 tou2
一年半,un an et demi,yi1 nian2 ban4
一年四季,les quatre saisons de l'année,yi1 nian2 si4 ji4
一年多,plus d'un an,yi1 nian2 duo1
一年期,période d'un an (dans un contrat ou le budget),yi1 nian2 qi1
一年被蛇咬十年怕井绳,(expr. idiom.) celui qui a été mordu par un serpent une année a peur de la corde du puits pendant dix ans; chat échaudé craint l'eau froide,yi1 nian2 bei4 she2 yao3 shi2 nian2 pa4 jing3 sheng2
一并,entièrement; ensemble,yi1 bing4
一应,tous; chaque,yi1 ying1
一应俱全,avec tout le nécessaire disponible,yi1 ying1 ju4 quan2
一度,une fois; en un moment,yi1 du4
一张,feuille,yi1 zhang1
一张纸,une feuille de papier,yi1 zhang1 zhi3
一弹指顷,(expr. idiom.) un claquement de doigts; en un flash; en un clin d'oeil,yi1 tan2 zhi3 qing3
一往情深,profondément attaché; consacré,yi1 wang3 qing2 shen1
一往无前,avancer courageusement; aller de l'avant,yi1 wang3 wu2 qian2
一律,égal; uniforme; sans exception,yi1 lu:4
一心,de tout coeur; corps et âme; être du même avis; être d'accord,yi1 xin1
一心一德,(expr. idiom.) d'un seul coeur et une seule âme,yi1 xin1 yi1 de2
一心一意,attentivement,yi1 xin1 yi1 yi4
一念之差,glissement momentané; faux pas; action irréfléchie,yi1 nian4 zhi1 cha1
一意,avec une dévotion complète; obstinément,yi1 yi4
一成不变,(expr. idiom.) rien ne change beaucoup; toujours pareil; immobile; statique,yi1 cheng2 bu4 bian4
一手,compétence; par soi-même; sans aide extérieure,yi1 shou3
一手包办,s'occuper d'un problème tout seul; faire fonctionner tout le spectacle,yi1 shou3 bao1 ban4
一手遮天,lit. cacher le ciel avec une main; cacher la vérité des masses,yi1 shou3 zhe1 tian1
一打,douzaine,yi1 da2
一扫而空,nettoyer; balayer proprement,yi1 sao3 er2 kong1
一技之长,avoir des capacités dans un domaine; se distinguer dans un domaine; se distinguer dans une spécialité,yi1 ji4 zhi1 chang2
一把,"un (classificateur pour les couteaux, etc.)",yi1 ba3
一把好手,expert,yi1 ba3 hao3 shou3
一把手,participant à une activité; personne capable,yi1 ba3 shou3
一把死拿,têtu; inflexible,yi1 ba3 si3 na2
一抓一大把,à la pelle; énormément de,yi1 zhua1 yi1 da4 ba3
一折两段,plier en deux; courber,yi1 zhe2 liang3 duan4
一抿子,un peu,yi1 min3 zi5
一拍即合,(expr. idiom.) être d'emblée à l'unisson; être en mesure du premier coup; bien s'entendre de manière immédiate; se plaire au premier coup d'oeil,yi1 pai1 ji2 he2
一拥而上,se précipiter sur; affluer vers; se ruer; se presser,yi1 yong1 er2 shang4
一拥而入,ruée,yi1 yong1 er2 ru4
一排,rangée,yi1 pai2
一掷千金,à prendre ou à laisser,yi1 zhi4 qian1 jin1
一改故辙,(expr. idiom.) abandonner résolument le vieux chemin; sortir de l'ornière; corriger le tir; changer son fusil d'épaule; prendre un nouveau départ; s'engager dans une nouvelle direction,yi1 gai3 gu4 zhe2
一文不名,être sans le sou,yi1 wen2 bu4 ming2
一斑,lit. une tache (d'un léopard); une seule petite chose dans un grand tableau,yi1 ban1
一方,un partie (dans un contrat ou un cas juridique); un côté; zone; région,yi1 fang1
一方面,d'une part...d'autre part; d'un côté,yi1 fang1 mian4
一旁,côté; du côté de,yi1 pang2
一族,groupe social; sous-culture; famille; clan,yi1 zu2
一无,entièrement; tout à fait,yi1 wu2
一无所有,Les Dépossédés,yi1 wu2 suo3 you3
一无所知,(expr. idiom.) qui ne sait rien du tout; complètement ignorant,yi1 wu2 suo3 zhi1
一无所获,ne rien gagner; finir les mains vides,yi1 wu2 suo3 huo4
一无所长,n'ayant aucune compétence particulière; sans aucune qualification,yi1 wu2 suo3 chang2
一无所闻,du jamais vu,yi1 wu2 suo3 wen2
一日,un jour; un beau jour,yi1 ri4
一日三餐,avoir trois repas par jour,yi1 ri4 san1 can1
一日千里,(expr. idiom.) avancer de mille li par jour; progresser rapidement,yi1 ri4 qian1 li3
一旦,une fois que; aussitôt que; si jamais; en un jour,yi1 dan4
一早,de bonne heure; de bon matin,yi1 zao3
一时,pendant une période; temporairement; pour le moment; accidentellement; par hasard; tantôt... tantôt...,yi1 shi2
一时半刻,peu de temps,yi1 shi2 ban4 ke4
一时半晌,peu de temps,yi1 shi2 ban4 shang3
一时半霎,peu de temps,yi1 shi2 ban4 sha4
一时间,pour un moment; momentanément,yi1 shi2 jian1
一星半点,un tout petit morceau; une très petite quantité,yi1 xing1 ban4 dian3
一晃,en un instant; en un éclair,yi1 huang3
一月,janvier; le premier mois lunaire,Yi1 yue4
一月份,janvier,yi1 yue4 fen4
一服,dose,yi1 fu2
一望无垠,(expr. idiom.) s'étendre aussi loin que porte le regard; s'étendre à perte de vue,yi1 wang4 wu2 yin2
一望无际,(expr. idiom.) à perte de vue; sans fin,yi1 wang4 wu2 ji4
一本万利,rémunérateur; lucratif,yi1 ben3 wan4 li4
一本正经,se composer un visage sévère; être collet monté; affecter de la gravité et du sérieux,yi1 ben3 zheng4 jing1
一条生路,issue de sortie (à une situation difficile),yi1 tiao2 shang1 lu4
一条龙,lit. un dragon; chaine intégrée; procédé coordonné,yi1 tiao2 long2
一来,"d'une part, ...",yi1 lai2
一来二去,progressivement; petit à petit; au fils du temps,yi1 lai2 er4 qu4
一板一眼,(expr. idiom.) suivre des instructions à la lettre,yi1 ban3 yi1 yan3
一板三眼,(expr. idiom.) suivre des instructions à la lettre,yi1 ban3 san1 yan3
一样,même; pareil; semblable; ressemblant,yi1 yang4
一楼,premier étage,yi1 lou2
一概,totalement; sans exception,yi1 gai4
一概而论,considérer les choses en bloc; placer qch sur le même plan; généraliser les cas,yi1 gai4 er2 lun4
一模一样,(expr. idiom.) exactement le même; copie carbone; égal; idem,yi1 mu2 yi1 yang4
一次,une fois,yi1 ci4
一次又一次,à plusieurs reprises; encore et encore,yi1 ci4 you4 yi1 ci4
一次性,qui ne sert qu'une fois; temporaire,yi1 ci4 xing4
一次能源,énergie primaire,yi1 ci4 neng2 yuan2
一步,(un seul) pas,yi1 bu4
一步一个脚印,"(expr. idiom.) un pas, une empreinte; progresser pas à pas; progresser lentement mais sûrement",yi1 bu4 yi1 ge4 jiao3 yin4
一步登天,parvenir à un niveau élevé (à une haute position sociale); monter en flèche dans sa carrière,yi1 bu4 deng1 tian1
一毛不拔,avare; parcimonieux,yi1 mao2 bu4 ba2
一氧化碳,monoxyde de carbone,yi1 yang3 hua4 tan4
一水儿,(famil.) du même type; identique,yi1 shui3 r
一派胡言,un tas d'inepties,yi1 pai4 hu2 yan2
一流,de qualité supérieure,yi1 liu2
一清二楚,clair comme le jour,yi1 qing1 er4 chu3
一溜烟,vite; rapidement; en un rien de temps,yi1 liu4 yan1
一潭死水,piscine d'eau stagnante; condition stagnante ou sans énergie,yi1 tan2 si3 shui3
一点,(un) peu de,yi1 dian3
一点一滴,peu à peu; petit à petit,yi1 dian3 yi1 di1
一点也不,pas le moins du monde; il n'y a pas moyen,yi1 dian3 ye3 bu4
一点儿,un peu,yi1 dian3 r
一点点,un petit peu; une pincée; un brin; une once; un tantinet,yi1 dian3 dian3
一片,flaque,yi1 pian4
