〇,0; zéro,ling2
不休,sans fin; sans cesse; sans arrêt,bu4 xiu1
不休息,pas de repos,bu4 xiu1 xi1
不会,ne pas savoir; être incapable de faire qch,bu4 hui4
不传,non transmis,bu4 chuan2
不伤脾胃,lit. ne pas blesser la rate ou l'estomac; fig. qch qui n'est pas si critique,bu4 shang1 pi2 wei4
不伦不类,n'être ni chair ni poisson; qui ne rentre dans aucun genre défini,bu4 lun2 bu4 lei4
不但,non seulement,bu4 dan4
不住,"à plusieurs reprises; en permanence; constamment; incapable de (résister, cacher, etc.)",bu4 zhu4
不体面,déshonneur; honteux,bu4 ti3 mian4
不作不死,"(argot) sans mauvaise action, il n'y a pas de mauvaise répercution",bu4 zuo4 bu4 si3
不佳,mauvais,bu4 jia1
不便,incommode; gênant,bu4 bian4
不俗,original; pas banal,bu4 su2
不信任,défiance; (se) défier; méfiance; (se) méfier; douter,bu4 xin4 ren4
不修边幅,négligence,bu4 xiu1 bian1 fu2
不倒翁,daruma; culbuto,bu4 dao3 weng1
不倦,infatigable; inlassable,bu4 juan4
不值,ne pas valoir,bu4 zhi2
不值钱,pas cher; qui a peu de valeur,bu4 zhi2 qian2
不假思索,sans réflexion; sans hésitation; au pied levé; avec empressement,bu4 jia3 si1 suo3
不偏不倚,impartial; se tenir dans le juste milieu; ne pencher ni d'un côté ni de l'autre; prendre une attitude impartiale; se tenir dans le juste milie,bu4 pian1 bu4 yi3
不做声,garder le silence; ne pas dire un mot,bu4 zuo4 sheng1
不停,incessant,bu4 ting2
不像话,scandaleux; odieux; choquant,bu4 xiang4 hua4
不允许,non autorisé; non permis; non accepté,bu4 yun3 xu3
不光,pas le seul; pas seulement,bu4 guang1
不光彩,honteux; déshonorant,bu4 guang1 cai3
不克,ne pas pouvoir; ne pas être en mesure de; être incapable de,bu4 ke4
不免,inévitable,bu4 mian3
不入时宜,prématuré; inopportun; plus à la mode; en retard sur son temps,bu4 ru4 shi2 yi2
不公,abus,bu4 gong1
不公平,injustice,bu4 gong1 ping2
不公正,injustice; partialité,bu4 gong1 zheng4
不共戴天,ne pouvoir coexister sous le ciel; vouer une haine implacable à qqn,bu4 gong4 dai4 tian1
不兴,passé de mode; démodé; interdit; défendu,bu4 xing1
不再,pas plus; pas plus longtemps,bu4 zai4
不准,interdire; défendre; ne pas permettre; refuser l'autorisation; défendre; il est interdit de,bu4 zhun3
不准确,imprécis,bu4 zhun3 que4
不凡,hors du commun; peu ordinaire; hors ligne; pas comme les autres,bu4 fan2
不出所料,comme prévu; comme attendu,bu4 chu1 suo3 liao4
不分,non divisé; indépendamment,bu4 fen1
不分轩轾,bien adapté; force égale,bu4 fen1 xuan1 zhi4
不分青红皂白,sans faire la moindre distinction entre le rouge et le vert ou le noir et le blanc; sans distinguer le vrai du faux; ne pas distinguer le bien du mal,bu4 fen1 qing1 hong2 zao4 bai2
不切实际,impraticable; irréalisable,bu4 qie4 shi2 ji4
不划算,c'est pas la peine; pas rentable; trop cher,bu4 hua2 suan4
不列颠,Britain,Bu4 lie4 dian1
不列颠战役,Bataille d'Angleterre,Bu4 lie4 dian1 Zhan4 yi4
不利,désavantage; désavantager,bu4 li4
不到,ne pas atteindre,bu4 dao4
不力,ne pas s'exercer; ne pas faire de son mieux,bu4 li4
不加,sans,bu4 jia1
不务正业,vaquer à des affaires louches; ne pas tenir compte de ses propres occupations,bu4 wu4 zheng4 ye4
不动,fixité; figer,bu4 dong4
不动产,marché immobilier,bu4 dong4 chan3
不动声色,ne pas laisser paraître ses sentiments; n'avoir l'air de rien; comme si de rien n'était; rester impassible,bu4 dong4 sheng1 se4
不动摇,indifférent,bu4 dong4 yao2
不动明王,Acalanatha,bu4 dong4 ming2 wang2
不劳而获,gagner sans travailler; s'emparer du fruit du labeur d'autrui,bu4 lao2 er2 huo4
不协调,disharmonie; manque de coordination,bu4 xie2 tiao2
不单,pas le seul; pas seulement; pas simplement,bu4 dan1
不即不离,sans s'approcher ni s'éloigner; garder ses distances; sans être distant ni familier,bu4 ji2 bu4 li2
不厌,ne pas déranger de faire qch; ne pas se lasser de; ne pas s'opposer à,bu4 yan4
不及,ne pas être aussi bon que; inférieur à; trouver cela trop tard,bu4 ji2
不及格,échec,bu4 ji2 ge2
不及物动词,verbe intransitif; verbe neutre; verbes intransitifs; verbes intransitives,bu4 ji2 wu4 dong4 ci2
不发火,raté; incident de tir (tirs); long feu (cordeau détonant),bu4 fa1 huo3
不受欢迎,impopularité,bu4 shou4 huan1 ying2
不变,fixité; égalité,bu4 bian4
不变价格,à prix fixe; prix constant,bu4 bian4 jia4 ge2
不只,non seulement,bu4 zhi3
不可,ne pas devoir; ne pas pouvoir; il ne faut pas; pas,bu4 ke3
不可一世,se considérer comme sans égal dans le monde; être insupportablement arrogant,bu4 ke3 yi1 shi4
不可以,ne pas pouvoir,bu4 ke3 yi3
不可分割,inaliénable; inséparable; indivisible,bu4 ke3 fen1 ge1
不可同日而语,(expr. idiom.) littéralement : il n'est pas possible de parler de deux choses différentes sous le même jour; on ne peut mettre deux choses différentes sur le même plan,bu4 ke3 tong2 ri4 er2 yu3
不可名状,indescriptible,bu4 ke3 ming2 zhuang4
不可告人,incommunicabilité,bu4 ke3 gao4 ren2
不可多得,difficile à obtenir; rare,bu4 ke3 duo1 de2
不可开交,"être terriblement (occupé, etc.)",bu4 ke3 kai1 jiao1
不可思议,inimaginable; inconcevable; incompréhensible; mystérieux; merveilleux,bu4 ke3 si1 yi4
不可或缺,nécessaire; indispensable,bu4 ke3 huo4 que1
不可抗力,force majeure (droit),bu4 ke3 kang4 li4
不可收拾,irréparable; irrémédiable; gâchis,bu4 ke3 shou1 shi2
不可救药,incurable; incorrigible; désespéré,bu4 ke3 jiu4 yao4
不可数,Ensemble dénombrable,bu4 ke3 shu3
不可枚举,(expr. idiom.) innombrable,bu4 ke3 mei2 ju3
不可理喻,iraisonné; imperméable à la raison,bu4 ke3 li3 yu4
不可知论,agnosticisme,bu4 ke3 zhi1 lun4
不可磨灭,indélébile,bu4 ke3 mo2 mie4
不可终日,être dans une impasse; être dans une situation désespérée,bu4 ke3 zhong1 ri4
不可胜数,myriade; innombrable; indénombrable,bu4 ke3 sheng4 shu3
不可能,impossible,bu4 ke3 neng2
不可言喻,(expr. idiom.) indicible; inexprimable,bu4 ke3 yan2 yu4
不可逾越,infranchissable; insurmontable,bu4 ke3 yu2 yue4
不可避免,inévitable; inéluctable,bu4 ke3 bi4 mian3
不可靠,douteux; peu fiable,bu4 ke3 kao4
不合,schisme,bu4 he2
不合作,non-coopération,bu4 he2 zuo4
不合时宜,prématuré; inopportun; mal à propos; en retard,bu4 he2 shi2 yi2
不合格,non qualifié; substandard,bu4 he2 ge2
不合法,illégal,bu4 he2 fa3
不合理,déraison,bu4 he2 li3
不合群,insociable,bu4 he2 qun2
不合适,inconvenance,bu4 he2 shi4
不吉利,menaçant; de mauvais augure,bu4 ji2 li4
不同,différent; varié,bu4 tong2
不同于,contrairement à; à la différence de,bu4 tong2 yu2
不同凡响,hors ligne; d'une grand originalité; qui se distingue de l'ordinaire,bu4 tong2 fan2 xiang3
不同意,disconvenir; désapprouver,bu4 tong2 yi4
不名誉,opprobre; déshonneur,bu4 ming2 yu4
不吝,ne pas lésiner,bu4 lin4
不吝珠玉,"lit. ne pas envier les pierres précieuses de la sagesse (dicton, expr. humble); fig. merci de me donner votre opinion franche; votre critique aura beaucoup de valeur",bu4 lin4 zhu1 yu4
不听话,désobéissant; qui n'écoute pas,bu4 ting1 hua4
不周,pas satisfaisant; irréfléchi; inconsidéré,bu4 zhou1
不咋地,(dial.) pas si bien; pas trop; rien de spécial,bu4 za3 de5
不和,désaccord; désunion; différend; discord; discorde; dissension; dissentiment; division; zizanie; trouble; fâcherie; friction; frottement; discorder; désunir,bu4 he2
不啻,tout comme; aussi bien que; égal à; équivaut à,bu4 chi4
不善,mauvais; méchant,bu4 shan4
不在,être absent,bu4 zai4
不在乎,ne pas se soucier; ne pas s'inquiéter; ne pas attacher de l'importance à; être indifférent,bu4 zai4 hu5
不在了,être mort; être décédé,bu4 zai4 le5
不在家,pas à la maison,bu4 zai4 jia1
不在意,ne pas prêter attention à; ne pas se soucier; être indifférent; négligent; nonchalant; sans soin,bu4 zai4 yi4
不在话下,rien de difficile,bu4 zai4 hua4 xia4
不均,inégal; de manière inégale,bu4 jun1
不均匀,inhomogène,bu4 jun1 yun2
不堪,ne pouvoir supporter; extrêmement; à l'extrême,bu4 kan1
不堪入目,insupportable à regarder; une horreur,bu4 kan1 ru4 mu4
不声不响,(expr. idiom.) muet et silencieux; sans parler; taciturne,bu4 sheng1 bu4 xiang3
不复,plus maintenant; pas plus,bu4 fu4
不外,ne ... que; rien d'autre que,bu4 wai4
不外乎,rien d'autre que,bu4 wai4 hu1
不够,pas assez; insuffisant; inadéquat,bu4 gou4
不大,peu,bu4 da4
不太好,pas très bon; pas trop bien,bu4 tai4 hao3
不失为,peut toujours être considéré (comme étant); peut après tout être accepté comme,bu4 shi1 wei2
不失时机,ne laisser échapper aucune occasion favorable; saisir le moment opportun,bu4 shi1 shi2 ji1
不好,pas bon; pas bien,bu4 hao3
不好意思,se sentir gêné; être mal à l'aise; être ambarrassé; hésiter à faire qch; désolé; pardon; timide; confus,bu4 hao3 yi4 si5
不好看,peu attrayant; mal vu,bu4 hao3 kan4
不如,ne pas égaler; ne pas être aussi bon que; être inférieur à,bu4 ru2
不如意,déception,bu4 ru2 yi4
不妙,pas très encourageant; loin d'être bon; rien de rassurant; cela laisse à désirer,bu4 miao4
不妥,impropre; qui ne convient pas,bu4 tuo3
不妨,il n'y a pas d'inconvénient; à bien pouvoir; rien n'empêche de,bu4 fang2
不孕,stérilité humaine; infertilité,bu4 yun4
不孕症,Stérilité humaine,bu4 yun4 zheng4
不孝,non filiale,bu4 xiao4
不学无术,sans savoir ni compétence; manque d'instruction pour n'avoir rien appris; dépourvu de capacités; ignorant,bu4 xue2 wu2 shu4
不安,troublé; inquiet; mal à l'aise; angoissé; confus,bu4 an1
不安全,dangereux,bu4 an1 quan2
不安分,mécontent de la vie,bu4 an1 fen5
不安好心,avoir de mauvaises intentions,bu4 an1 hao3 xin1
不完全,incomplet,bu4 wan2 quan2
不完善,défectibilité; défectuosité,bu4 wan2 shan4
不完美,défectibilité,bu4 wan2 mei3
不定,incertain; indécis; indéfini,bu4 ding4
不定式,Infinitif,bu4 ding4 shi4
不定期,irrégulier,bu4 ding4 qi1
不宜,ne pas convenir,bu4 yi2
不客气,impoli; rude; sans ménagement; de rien,bu4 ke4 qi5
不容,ne pas tolérer pas; ne pas; ne pas admettre,bu4 rong2
不容易,pas facile,bu4 rong2 yi4
不容置疑,incontestable; indiscutable,bu4 rong2 zhi4 yi2
不寒而栗,frissonner sans avoir froid; tressaillir de crainte; trembler de peur; trembler de frayeur; frissonner d'effroi; être transi d'effroi,bu4 han2 er2 li4
不对,erroné; incorrect; non; pas normal; bizarre; avoir tort,bu4 dui4
不对劲,pas en bon état,bu4 dui4 jin4
不对头,louche; douteux; pas droit; de travers,bu4 dui4 tou2
不对称,dissymétrique; asymétrique,bu4 dui4 chen4
不少,beaucoup; un assez grand nombre,bu4 shao3
不尽,pas complètement; sans cesse,bu4 jin4
不屈,inflexibilité,bu4 qu1
不屈不挠,opiniâtreté,bu4 qu1 bu4 nao2
不屑,ne pas daigner; cela ne vaut pas la peine de,bu4 xie4
不屑一顾,ne pas daigner jeter un coup d'oeil sur,bu4 xie4 yi1 gu4
不巧,malheureusement,bu4 qiao3
不差,pas mal; OK,bu4 cha4
不已,sans fin; sans cesse,bu4 yi3
不带,de ne pas avoir; sans; non-,bu4 dai4
不干,indisposé à faire qch; incapable de; quitter,bu4 gan4
不干净,pas propre; hanté (par des fantômes),bu4 gan1 jing4
不平,plainte,bu4 ping2
不平凡,merveilleux; merveilleusement,bu4 ping2 fan2
不平则鸣,"où il y a de l'injustice, il y aura des protestations; beaucoup pleureront contre l'injustice",bu4 ping2 ze2 ming2
不平等,inégalité; injustice,bu4 ping2 deng3
不平等条约,traités inégaux,bu4 ping2 deng3 tiao2 yue1
不平衡,déséquilibre,bu4 ping2 heng2
不幸,malédiction; malheur; misère; précipice; détresse; disgrâce; fatalité; épreuve; adversité; avatar; fatalité; calamité,bu4 xing4
不应期,période réfractaire (physiologie),bu4 ying4 qi1
不开心,pas content; non satisfait,bu4 kai1 xin1
不当,mal à propos; incorrect; inadéquat,bu4 dang4
不很,ne; pas très,bu4 hen3
不得,il ne faut pas; il n'est pas permis de; on ne doit pas,bu4 de2
不得不,être obligé de faire qch,bu4 de2 bu4
不得了,extrêmement sérieux; désastreux; extrêmement; on ne peut plus,bu4 de2 liao3
不得人心,impopularité,bu4 de2 ren2 xin1
不得已,à contrecoeur,bu4 de2 yi3
不得而知,inconnu; impossible à trouver,bu4 de2 er2 zhi1
不得要领,ne pas saisir le point essentiel; ne pas trouver le nud de la question; ne pas comprendre l'essentiel,bu4 de2 yao4 ling3
不必,il ne faut pas; ce n'est pas la peine,bu4 bi4
不必要,inutile,bu4 bi4 yao4
不忍,ne pas pouvoir supporter,bu4 ren3
不忘,sans oublier,bu4 wang4
不忙,rien ne presse; prendre son temps,bu4 mang2
不快,se formaliser; froisser; être malheureux; être contrarié; être indisposé,bu4 kuai4
不忿,insatisfait; pas convaincu; indigné,bu4 fen4
不怎么,pas très; pas particulièrement,bu4 zen3 me5
不怎么样,pas très bon; très indifférent; rien de bon à dire à ce sujet,bu4 zen3 me5 yang4
不怕,cuirassé; cuirasser; sans peur,bu4 pa4
不恤人言,(expr. idiom.) ne pas s'inquiéter des commérages,bu4 xu4 ren2 yan2
不恭,irrespectueux,bu4 gong1
不悦,désagréable; déplaisant,bu4 yue4
不情之请,si je puis m'exprimer ainsi pour demander une faveur...,bu4 qing2 zhi1 qing3
不情愿,peu disposé; réticence,bu4 qing2 yuan4
不惑,sans doute; avec sa pleine confiance; quarante ans d'âge,bu4 huo4
不惜,ne pas épargner; ne pas hésiter à faire qch,bu4 xi1
不惟,pas seulement,bu4 wei2
不想,à l'improviste; ne pas vouloir; ne pas être désireux de,bu4 xiang3
不愉快,déplaisir; désolation,bu4 yu2 kuai4
不愧,être digne de son nom; mériter,bu4 kui4
不愿,refus; réticence,bu4 yuan4
不愿意,ne pas vouloir; ne pas avoir envie de; ne pas souhaiter,bu4 yuan4 yi4
不慎,imprudent; inattentif; distrait,bu4 shen4
不懂,ne pas comprendre; être ignorant de,bu4 dong3
不懈,inlassable; infatigable; soutenu,bu4 xie4
不成,n'aboutir à aucun succès; ça ne va pas,bu4 cheng2
不成功,foirer; bide; flop,bu4 cheng2 gong1
不成文,non-écrit (règle),bu4 cheng2 wen2
不成材,sans valeur; propre à rien,bu4 cheng2 cai2
不成熟,immature,bu4 cheng2 shu2
不打紧,sans importance; pas grave; ça ne fait rien; tant pis,bu4 da3 jin3
不打自招,faire des aveux sans la torture; vendre la mèche sans y être forcé,bu4 da3 zi4 zhao1
不承认,non reconnaissance,bu4 cheng2 ren4
不折不扣,à la lettre,bu4 zhe2 bu4 kou4
不拉叽,"aussi (bte, stupide etc.) que possible",bu4 la1 ji1
不拘,"ne pas se confiner dans; ne pas limiter; ne pas tenir à; n'importe (quel, qui, quoi, comment)",bu4 ju1
不拘一格,ne pas s'en tenir à un modèle,bu4 ju1 yi1 ge2
不拘小节,braver la bienséance; ne pas faire de cérémonie; être sans gêne,bu4 ju1 xiao3 jie2
不择手段,machiavélisme,bu4 ze2 shou3 duan4
不振,manquant de vitalité; en déclin,bu4 zhen4
不插电,débranché; unplugged,bu4 cha1 dian4
不敌,imbattable,bu4 di2
不敢,ne pas oser,bu4 gan3
不敢当,Vous me faites trop d'honneur,bu4 gan3 dang1
不敢相信,incroyable,bu4 gan3 xiang1 xin4
不敢高攀,lit. ne pas oser se tirer vers le haut (terme humble); Je ne peux pas présumer votre attention,bu4 gan3 gao1 pan1
不料,contre toute attente; inopinément; à sa grande surprise; inattendu,bu4 liao4
不断,sans cesse; constamment; ininterrompu; continuel,bu4 duan4
不方便,sujétion,bu4 fang1 bian4
不无,non sans,bu4 wu2
不无小补,être tout de même de quelque utilité,bu4 wu2 xiao3 bu3
不日,dans les prochains jours; dans un délai de quelques jours,bu4 ri4
不时,de temps en temps; parfois,bu4 shi2
不时之需,éventualité; imprévus,bu4 shi2 zhi1 xu1
不明,obscurité,bu4 ming2
不明不白,obscure; douteux; ombragé,bu4 ming2 bu4 bai2
不明白,ne pas comprendre; ne pas parvenir à réaliser ce qui se passe,bu4 ming2 bai2
不明确,vague; approximation; indéfini,bu4 ming2 que4
不明觉厉,"bien que je ne comprenne pas, ça a l'air assez génial (argot internet)",bu4 ming2 jue2 li4
不明飞行物,Objet volant non identifié,bu4 ming2 fei1 xing2 wu4
不易,pas facile à faire; difficile; immuable,bu4 yi4
不是,faute,bu4 shi4
不是东西,(derog.) être un bon à rien; personne inutile; bon à rien,bu4 shi4 dong1 xi5
不景气,dépression; stagnation; anémie,bu4 jing3 qi4
不智,imprudent,bu4 zhi4
不暇,ne pas avoir le temps; être trop occupé,bu4 xia2
不曾,jamais (avoir fait qch),bu4 ceng2
不服,refuser d'obéir ou de se soumettre,bu4 fu2
不期,de façon inattendue; à la surprise de qqn,bu4 qi1
不期然而然,se produire inopinément,bu4 qi1 ran2 er2 ran2
不期而遇,se rencontrer par hasard,bu4 qi1 er2 yu4
不朽,immortel,bu4 xiu3
不杀生,non-meurtre,bu4 sha1 sheng1
不来梅,Brême,Bu4 lai2 mei2
不枉,pas en vain,bu4 wang3
不欢而散,se séparer sans s'être mis d'accord; se séparer dans la mésentente,bu4 huan1 er2 san4
不止,davantage,bu4 zhi3
不正之风,tendance malsaine; tendences malsaines(néfastes,bu4 zheng4 zhi1 feng1
不正常,détraquement; déviance; flipper,bu4 zheng4 chang2
不正当,malhonnête; déloyal; incorrect,bu4 zheng4 dang4
不正当关系,relation inappropriée; relation adultère,bu4 zheng4 dang4 guan1 xi4
不正当竞争,concurrence déloyale; concurrence illicite,bu4 zheng4 dang4 jing4 zheng1
不正确,incorrecte; erroné,bu4 zheng4 que4
不死,Immortalité,bu4 si3
不死心,refusant d'abandonner; non résigné,bu4 si3 xin1
不死鸟,Phénix,bu4 si3 niao3
不比,différent; contrairement,bu4 bi3
不毛,stérile,bu4 mao2
不毛之地,"terrain stérile, infertile, improductif; désert",bu4 mao2 zhi1 di4
不求人,gratte-dos (fait en bambou etc.),bu4 qiu2 ren2
不求甚解,refuser d'aller au fond des choses; ne pas se donner la peine d'approfondir la chose; se contenter de comprendre aux trois quarts; ne pas chercher à approfondir,bu4 qiu2 shen4 jie3
不治之症,maladie incurable; maladie inguérissable; maladie qui ne pardonne pas,bu4 zhi4 zhi1 zheng4
不法,illicite,bu4 fa3
不注意,inattention,bu4 zhu4 yi4
不测,accident; mésaventure; malheur; cas imprévu,bu4 ce4
不济,pas bon; d'aucune utilité,bu4 ji4
不济事,pas bon; d'aucune utilité; pas la moindre utilité,bu4 ji4 shi4
不消,pour ne pas avoir besoin; inutile (de dire),bu4 xiao1
不清,pas clair,bu4 qing1
不清楚,pas clair; pas compris; actuellement inconnu,bu4 qing1 chu5
不渝,immuable; constant; fidèle,bu4 yu2
不满,mécontent; insatisfait,bu4 man3
不满意,ne pas être satisfait; insatisfait,bu4 man3 yi4
不灵,être inefficace; mal fonctionner; manquer d'acuité,bu4 ling2
不為五斗米摺腰,Do not lose your dignity for a small profit,bu4 wei4 wu3 dou3 mi3 zhe1 yao1
不然,il n'en est pas ainsi; autrement; sinon,bu4 ran2
不爽,pas bien; de mauvaise humeur; sans divergence; précis,bu4 shuang3
不独,non seulement,bu4 du2
不理,refuser de reconnaître; ne pas faire attention à; ne pas s'occuper de; ne pas prendre en considération,bu4 li3
不理会,ne pas faire cas de; ne prêter aucune attention à,bu4 li3 hui4
不理想,insatisfaisant; pas idéal,bu4 li3 xiang3
不甘,ne pas se résigner à; ne pas se contenter de; être peu disposé à; de mauvaise volonté; de mauvaise grâce; à contrecu,bu4 gan1
不甘心,ne pas se résigner à,bu4 gan1 xin1
不甘示弱,ne pas être en reste,bu4 gan1 shi4 ruo4
不甘落后,ne pas vouloir rester en arrière; ne pas se résigner à être distancé par les autres,bu4 gan1 luo4 hou4
不用,ce n'est pas la peine ...,bu4 yong4
不由,ne pas pouvoir aider,bu4 you2
不由分说,ne permettre aucune explication,bu4 you2 fen1 shuo1
不由得,ne pouvoir s'empêcher de; involontairement; malgré soi,bu4 you2 de5
不由自主,ne pouvoir s'empêcher de faire qch; malgré soi,bu4 you2 zi4 zhu3
不畏,sans peur; défier,bu4 wei4
不疾不徐,(expr. idiom.) ni trop rapide ni trop lent,bu4 ji2 bu4 xu2
不痛不痒,qui ne provoque ni douleur ni démangeaison; qui effleure une question sans l'approfondir,bu4 tong4 bu4 yang3
不白之冤,grave injustice; être innocent du crime dont on l'accuse,bu4 bai2 zhi1 yuan1
不相上下,égal; pareil; sans différence sensible; plus ou moins égaux,bu4 xiang1 shang4 xia4
不相容,discordance; exclure,bu4 xiang1 rong2
不相干,sans aucun rapport; qui n'a rien à voir avec,bu4 xiang1 gan1
不相符,inadéquation,bu4 xiang1 fu2
不省人事,perdre connaissance; s'évanouir; être dans le coma,bu4 xing3 ren2 shi4
不着,pas besoin; Il n'est pas nécessaire,bu4 zhao2
不着边际,parler dans le vague; passer à côté de la question; s'en tenir à des généralités; être loin du compte,bu4 zhuo2 bian1 ji4
不知,ne pas savoir; ne pas comprendre,bu4 zhi1
不知不觉,sans s'en apercevoir,bu4 zhi1 bu4 jue2
不知凡几,on ne peut dire combien; de nombreux cas similaires,bu4 zhi1 fan2 ji3
不知去向,on ignore où; porté disparu,bu4 zhi1 qu4 xiang4
不知天高地厚,se surestimer et tomber dans le ridicule,bu4 zhi1 tian1 gao1 di4 hou4
不知好歹,ne pouvoir distinguer le bien du mal; incapable de connaître une faveu,bu4 zhi1 hao3 dai3
不知就里,qui ne connait pas les rouages​​; naïf; inconscient,bu4 zhi1 jiu4 li3
不知所云,ne pas savoir où qqn veut en venir; être inintelligible,bu4 zhi1 suo3 yun2
不知所措,désorientation; déboussolage; perplexité; démonter,bu4 zhi1 suo3 cuo4
不知死活,agir témérairement; faire avec insouciance; être inconscient du danger,bu4 zhi1 si3 huo2
不知火舞,Mai Shiranui,bu4 zhi1 huo3 wu3
不知痛痒,engourdi; insensible; indifférent; sans conséquence,bu4 zhi1 tong4 yang3
不破不立,"sans destruction, il ne peut y avoir de construction",bu4 po4 bu4 li4
不确定,incertitude,bu4 que4 ding4
不确实,inauthenticité,bu4 que4 shi2
不祥,sinistre; inquiétant; néfaste,bu4 xiang2
不祥之兆,sinistre; inquiétant; néfaste; de mauvais augure,bu4 xiang2 zhi1 zhao4
不禁,ne pouvoir s'empêcher de,bu4 jin1
不移,inébranlable; inaliénable,bu4 yi2
不稳,instable,bu4 wen3
不稳定,instable,bu4 wen3 ding4
不稳定性,Série temporelle,bu4 wen3 ding4 xing4
不稳平衡,équilibre instable,bu4 wen3 ping2 heng2
不穷,sans fin; sans bornes; inépuisable,bu4 qiong2
不端,malhonnête; déshonorable,bu4 duan1
不符,démentir,bu4 fu2
不符合,discordant; en deçà (des attentes); ne correspondant pas; non conforme; (chiffres) en désaccord; inconvenant,bu4 fu2 he2
不等,inégalité (mathématiques),bu4 deng3
不等于,Inégalité (mathématiques),bu4 deng3 yu2
不等式,Inégalité (math.),bu4 deng3 shi4
不简单,pas simple; plutôt compliqué; remarquable; merveilleux,bu4 jian3 dan1
不算,pas vraiment; ne pas être considéré comme,bu4 suan4
不管,"si (aussi, quelque, pour, tout)... que; quel que..; peu importe",bu4 guan3
不精确,imprécision,bu4 jing1 que4
不约而同,faire la même chose sans se donner le mot; se trouver du même avis sans qu'il y ait eu entente préalable,bu4 yue1 er2 tong2
不织布,Textile non-tissé,bu4 zhi1 bu4
不经之谈,déclaration absurde; histoire sans queue ni tête,bu4 jing1 zhi1 tan2
不经意,négligemment; par accident,bu4 jing1 yi4
不经意间,par inadvertance,bu4 jing1 yi4 jian1
不结盟,non-alignement,bu4 jie2 meng2
不结盟运动,Mouvement des non-alignés,Bu4 Jie2 meng2 Yun4 dong4
不绝,sans fin; ininterrompu,bu4 jue2
不绝如缕,accrocher par un fil; très périlleux; presque éteint,bu4 jue2 ru2 lu:3
不置可否,refuser de faire des remarques; ne pas donner son opinion; être évasif; haie,bu4 zhi4 ke3 fou3
不羁,indomptable; fougueux,bu4 ji1
不翼而飞,s'envoler sans avoir besoin d'ailes; disparaître mystérieusement,bu4 yi4 er2 fei1
不耐烦,être impatient; impatience; crispation,bu4 nai4 fan2
不耻下问,condescendre à consulter un inférieur; daigner s'adresser à un inférieur pour prendre son avis,bu4 chi3 xia4 wen4
不肖,dégénéré; indigne,bu4 xiao4
不育,stérile,bu4 yu4
不育症,stérilité,bu4 yu4 zheng4
不胜,très; extrêmement,bu4 sheng4
不胜其烦,être harcelé au-delà de l'endurance,bu4 sheng4 qi2 fan2
不胜其苦,(expr. idiom.) incapable de supporter la douleur,bu4 sheng4 qi2 ku3
不胜枚举,innombrable; que l'on ne peut énumérer; trop nombreux pour être cités,bu4 sheng4 mei2 ju3
不胫而走,marcher sans avoir de jambes; se propager rapidement,bu4 jing4 er2 zou3
不能,ne pas pouvoir; ne pas devoir,bu4 neng2
不能不,être obligé de,bu4 neng2 bu4
不能够,insuffisant; pas de trop,bu4 neng2 gou4
不能用,inutilisable,bu4 neng2 yong4
不能自已,incapable de se contrôler,bu4 neng2 zi4 yi3
不自在,dépaysement,bu4 zi4 zai5
不自然,facticité,bu4 zi4 ran2
不自觉,ignorant; inconscient,bu4 zi4 jue2
不自量力,surestimer ses capacités,bu4 zi4 liang4 li4
不至于,pas aussi mauvais que,bu4 zhi4 yu2
不致,pas de telle façon à; pas susceptible de,bu4 zhi4
不舒服,malaise; se sentir mal; mal à l'aise,bu4 shu1 fu5
不良,nuisible; mauvais,bu4 liang2
不良反应,réaction adverse,bu4 liang2 fan3 ying4
不苟,sans relâche; consciencieux,bu4 gou3
不若,pas aussi bon que; pas égal à; inférieur,bu4 ruo4
不莱梅,Brême,bu4 lai2 mei2
不菲,considérable (cout etc. ); abondant (récolte etc.; haut (statut social etc.),bu4 fei3
不虚此行,voyage intéressant; voyage utile,bu4 xu1 ci3 xing2
不虞,inattendu; éventualité; contingence,bu4 yu2
不行,incapable; incompétent; ça ne va pas; ce n'est pas possible,bu4 xing2
不行了,sur le point de mourir; mourant,bu4 xing2 le5
不衰,sans faille; durable; imparable,bu4 shuai1
不要,ne... pas,bu4 yao4
不要紧,peu importe; ça ne fait rien; ce n'est pas grave,bu4 yao4 jin3
不要脸,sans sentiment de honte; éhonté,bu4 yao4 lian3
不见,disparaître,bu4 jian4
不见了,disparaître; être absent,bu4 jian4 le5
不见得,ce n'est pas évident; pas forcément; pas nécessairement; c'est à voir,bu4 jian4 de5
不见经传,(expr. idiom.) qu'on ne trouve ni dans les classiques ni dans leurs commentaires; référence inexacte; (citation) introuvable; (auteur) inconnu,bu4 jian4 jing1 zhuan4
不规则,dérèglement,bu4 gui1 ze2
不规范,non standard; anormal; irrégulier,bu4 gui1 fan4
不觉,inconsciemment,bu4 jue2
不解,ne pas comprendre; indissoluble,bu4 jie3
不解风情,peu romantique; insensible,bu4 jie3 feng1 qing2
不言而喻,cela va sans dire; cela se comprend,bu4 yan2 er2 yu4
不计,ne pas tenir compte,bu4 ji4
不计其数,innombrable; qui ne peut se compter,bu4 ji4 qi2 shu4
不认识,ne pas connaître,bu4 ren4 shi2
不认账,ne pas admettre,bu4 ren4 zhang4
不讳,sans rien cacher,bu4 hui4
不许,interdire; ne pas permettre,bu4 xu3
